"PassengerId","Family_name","first_name","Sex","Survived","Age","Ticket_class","Passenger.Crew","Citizenship","Position","Status","City","Lifeboat","Rescue.Vessel","Adult.Minor"
1,"Cameron","Charles W.","male","no",38,"Band","Crew","British","","","","","","Adult"
2,"Carr-jones","E.","male","no",37,"Band","Crew","British","","","","","","Adult"
3,"Drakeford","Edward","male","yes",30,"Band","Crew","British","Violin","","","","","Adult"
4,"Hawkins","Handel","male","yes",25,"Band","Crew","British","Cello","","","","","Adult"
5,"Hemingway","John William","male","yes",27,"Band","Crew","British","Double Bass","","","","","Adult"
6,"Anderson","James Clarke","male","no",48,"Deck","Crew","British","Staff Captain","","Liverpool","","","Adult"
7,"Anderson","John","male","no",NA,"Deck","Crew","Norwegian","Able-Bodied Seaman","","","","","Adult"
8,"Battle","James","male","yes",NA,"Deck","Crew","British","Able-Bodied Seaman","","Sligo","Found Lifeboat","Found by Rescue Vessel","Adult"
9,"Bestic","Albert Arthur","male","yes",24,"Deck","Crew","British","Junior Third Officer","Single","Dublin","","Found by Rescue Vessel","Adult"
10,"Bowden","Joseph ","male","yes",19,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
11,"Brown","John Manson George","male","no",57,"Deck","Crew","British","Joiner","","","","","Adult"
12,"Cannon","Robert Henry","male","no",50,"Deck","Crew","British","Inspector","","","","","Adult"
13,"Clinton","George","male","yes",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
14,"Clyde","Neil","male","yes",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
15,"Crank","John","male","no",NA,"Deck","Crew","British","Baggage Master","","","","","Adult"
16,"Cunningham","Edward","male","yes",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
17,"Davies","John","male","yes",NA,"Deck","Crew","British","Boatswain","","","","","Adult"
18,"Egan","William","male","yes",NA,"Deck","Crew","British","Boatswain's Mate","","","","","Adult"
19,"Elliot","Arthur Graham","male","no",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
20,"Elliot","Fred","male","yes",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
21,"Evans","Thomas William","male","no",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
22,"Fayle","Edward","male","yes",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
23,"Flemming","Herbert","male","no",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
24,"Garry","Joseph","male","no",25,"Deck","Crew","British","Assistant Surgeon","","Kildysart","","","Adult"
25,"Gunn","C.","male","yes",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
26,"Harman","John","male","yes",56,"Deck","Crew","British","Able-Bodied Seaman","","Liverpool","","","Adult"
27,"Hefford","Percy","male","no",NA,"Deck","Crew","British","Second Officer","","","","","Adult"
28,"Heighway","Edward John","male","yes",41,"Deck","Crew","British","Able-Bodied Seaman","","Strangford","","","Adult"
29,"Hennesey","Frank","male","yes",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
30,"Herman","Albert","male","no",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
31,"Heyes","J.","male","yes",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
32,"Hughes","John Edward","male","no",NA,"Deck","Crew","British","Hospital Attendant","","","","","Adult"
33,"Hume","James","male","yes",19,"Deck","Crew","British","Able-Bodied Seaman","","Belfast","","","Adult"
34,"Johnston","Hugh Robert","male","yes",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
35,"Jones","Arthur Rowland","male","yes",33,"Deck","Crew","British","First Officer","","","Found Lifeboat","Found by Rescue Vessel","Adult"
36,"Jones","William","male","no",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
37,"Knight","C. T.","male","yes",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
38,"Ledene","Thomas","male","no",50,"Deck","Crew","British","Able-Bodied Seaman","Widower","","","","Adult"
39,"Lewis","John Idwal","male","yes",29,"Deck","Crew","British","Senior Third Officer","","","","","Adult"
40,"Lockett","H.","male","yes",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
41,"Malone","F.","male","no",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
42,"Mcdermott","James Farrell","male","no",38,"Deck","Crew","British","Surgeon","","Liverpool","","","Adult"
43,"Mcglade","George","male","no",NA,"Deck","Crew","British","Seaman","","","","","Adult"
44,"Mcleod","Victor","male","no",NA,"Deck","Crew","British","O Seaman","","","","","Adult"
45,"Mcnally","Peter","male","no",NA,"Deck","Crew","British","Seaman","","","","","Adult"
46,"Moore","Daniel","male","yes",NA,"Deck","Crew","British","Seaman","","","","","Adult"
47,"Morton","Leslie Noel (brother of John)","male","yes",18,"Deck","Crew","British","Able-Bodied Seaman","Single","","","Found by Rescue Vessel","Adult"
48,"Morton","John Clifford (brother of Leslie)","male","yes",20,"Deck","Crew","British","Able-Bodied Seaman","Single","","","","Adult"
49,"O'mahoney","Thomas","male","yes",21,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
50,"O'neill","F. H.","male","yes",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
51,"Owens","Owen","male","no",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
52,"Parry","Joseph","male","yes",26,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
53,"Piper","John P.","male","no",NA,"Deck","Crew","British","Chief Officer","","","","","Adult"
54,"Quinn","Thomas John (father of Thomas Quinn, bo'sun's boy)","male","yes",NA,"Deck","Crew","British","Able-Bodied Seaman","Married","","","","Adult"
55,"Quinn","Thomas (son of Thomas Quinn, AB seaman)","male","no",17,"Deck","Crew","British","Boatswain's Boy","Single","","","","Minor"
56,"Quirk","William Eduard","male","no",33,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
57,"Reid","James","male","no",NA,"Deck","Crew","British","Seaman","","","","","Adult"
58,"Robb","Joseph","male","no",27,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
59,"Roberts","Charles A.","male","yes",25,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
60,"Robertson","Neil","male","yes",NA,"Deck","Crew","British","Carpenter","","","","","Adult"
61,"Robins","T. (Edward Kyle)","male","no",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
62,"Roper","John","male","yes",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","Found by Rescue Vessel","Adult"
63,"Seagraves","Patrick","male","no",NA,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
64,"Sikking","James","male","yes",24,"Deck","Crew","British","Able-Bodied Seaman","","","","","Adult"
65,"Sikking","Florence","male","yes",NA,"Deck","Crew","British","Boatswain's Mate","","","","","Adult"
66,"Smith","Peter","male","no",NA,"Deck","Crew","British","Master-at-Arms","","","","","Adult"
